# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
5,0.10071,0.109981,0.328399,0.53909
6,0.388951,0.419662,1.23433,2.04295
7,1.59636,1.72023,5.0935,8.41009
8,6.29845,6.82066,22.6257,35.7448
