# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
5,0.11802,0.126363,0.699742,0.944125
6,0.396817,0.427653,2.63087,3.45534
7,1.64527,1.76903,10.98,14.3943
8,6.98612,7.54699,43.2882,57.8213
