# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
2,0.0311513,0.0325362,0.0564251,0.120113
3,0.0833869,0.0862968,0.1712,0.340883
4,0.28454,0.300783,0.743781,1.3291
5,1.58134,1.7156,5.23056,8.52749
