# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
3,0.0927217,0.0971543,0.221594,0.41147
4,0.480657,0.51271,1.47824,2.47161
5,3.39097,3.64786,11.2773,18.3161
6,30.5,32.497,93.0289,156.026
