# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
2,0.0257531,0.0267664,0.0485686,0.101088
3,0.074696,0.078808,0.158454,0.311958
4,0.345144,0.378033,1.17183,1.895
5,1.84476,1.98474,7.25617,11.0857
