# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
2,0.0338829,0.035318,0.0645584,0.133759
3,0.086536,0.0897012,0.164045,0.340282
4,0.311838,0.329032,0.72133,1.3622
5,1.59328,1.70029,4.44073,7.7343
