# Matrix Free Memory Consumption
Refinement,DoFs,Triangulation,DoFHandler,Matrix-free operator,Multigrid matrices,Vectors,TOTAL
3,4913,0.1427402496,0.03630638123,0.06670379639,0.04644489288,0.01628684998,0.3084821701
4,35937,0.5730752945,0.1444721222,0.5281295776,0.3312492371,0.09037399292,1.667300224
5,274625,3.022521973,0.7541332245,4.219535828,2.58366394,0.6025390625,11.18239403
6,2146689,19.33956814,4.787439346,33.75078583,20.52618313,4.395231247,82.79920769
