# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
3,0.148213,0.161467,0.515731,0.825411
4,1.19178,1.29163,4.27364,6.75705
5,11.097,11.8869,35.5582,58.5421
6,117.363,123.644,312.385,553.392
