# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
2,0.0337286,1.24229,1.31764,2.59366
3,0.178902,9.63063,10.2511,20.0607
4,1.43655,78.9174,83.4862,163.84
5,10.2272,517.975,547.3,1075.5
