# Matrix Based Memory Consumption
Refinement,Dofs,Triangulation,DoFHandler,Matrix,Multigrid matrices,Vectors,TOTAL
2,729,0.0467634201,0.01300239563,0.2743377686,0.3177032471,0.01141357422,0.6632204056
3,4913,0.2791957855,0.07541847229,2.09538269,2.413085938,0.07525634766,4.938339233
2,729,0.0467634201,0.01300239563,0.2743377686,0.3177032471,0.01141357422,0.6632204056
3,4913,0.2791957855,0.07541847229,2.09538269,2.413085938,0.07525634766,4.938339233
4,35937,2.045433998,0.5292377472,16.37809753,18.79118347,0.5486450195,38.29259777
5,274625,15.83208084,3.989862442,129.5060272,148.2972107,4.190734863,301.8159161
