# Matrix Free Memory Consumption
Refinement,DoFs,Triangulation,DoFHandler,Matrix-free operator,Multigrid matrices,Vectors,TOTAL
5,4225,0.2947711945,0.07687950134,0.2820358276,0.2156467438,0.06531333923,0.9346466064
6,16641,1.137860298,0.2950878143,1.125785828,0.8426952362,0.2547664642,3.656195641
7,66049,4.506469727,1.161001205,4.500785828,3.345720291,1.008672714,14.52264977
8,263169,17.9528532,4.611387253,18.00078583,13.35069847,4.016485214,57.93220997
