# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
2,0.0306547,0.0335663,0.0893033,0.153524
3,0.168451,0.183064,0.618784,0.970299
4,1.19396,1.30975,4.69406,7.19777
5,11.1967,12.0613,41.4838,64.7418
