# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
3,0.127176,0.131406,0.241966,0.500548
4,0.48392,0.511192,1.25331,2.24842
5,2.82174,3.07018,8.59734,14.4893
6,19.7024,21.3878,65.5785,106.669
