# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
3,0.0925399,0.0959632,0.190863,0.379366
4,0.401057,0.424472,1.14225,1.96778
5,2.57049,2.76019,8.40315,13.7338
6,20.7634,22.2321,66.6501,109.646
