# Matrix Based Memory Consumption
Refinement,Dofs,Triangulation,DoFHandler,Matrix,Multigrid matrices,Vectors,TOTAL
3,4913,0.2791957855,0.07541847229,2.09538269,2.413085938,0.07525634766,4.938339233
4,35937,2.045433998,0.5292377472,16.37809753,18.79118347,0.5486450195,38.29259777
5,274625,15.83208084,3.989862442,129.5060272,148.2972107,4.190734863,301.8159161
6,2_146_689,124.7125006,31.01439095,1030.011887,1178.309097,32.75616455,2396.80404
