# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
5,0.100006,0.107819,0.413243,0.621067
6,0.393138,0.422951,1.61134,2.42743
7,1.55716,1.68832,6.39071,9.63619
8,6.41051,6.88179,30.8288,44.1211
