# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
2,0.022965,0.0240513,0.0455085,0.0925248
3,0.0839592,0.0892512,0.218713,0.391924
4,0.452185,0.490087,1.55132,2.49359
5,3.33767,3.66344,11.4342,18.4353
