# Matrix Free Time Details
Refinement,Setup,Assembly,Solve,TOTAL
3,0.191461,0.197496,0.330078,0.719036
4,0.671169,0.698287,1.38887,2.75832
5,2.77901,2.98358,7.89405,13.6566
6,19.2891,20.816,58.8664,98.9715
